country,IN,2011,Playground ,2015,864304
country,IN,2011,Boundarywall ,2015,914976
country,IN,2011,Girls Toilet ,2015,1244023
country,IN,2011,Boys Toilet ,2015,1350424
country,IN,2011,Drinking Water ,2015,1388678
country,IN,2011,Electricity ,2015,791494
country,IN,2011,Computer ,2015,364788
district,532,2011,Playground ,2015,2284
district,532,2011,Boundarywall ,2015,2053
district,532,2011,Girls Toilet ,2015,2554
district,532,2011,Boys Toilet ,2015,3786
district,532,2011,Drinking Water ,2015,4076
district,532,2011,Electricity ,2015,4099
district,532,2011,Computer ,2015,1069
district,146,2011,Playground ,2015,3782
district,146,2011,Boundarywall ,2015,4005
district,146,2011,Girls Toilet ,2015,4800
district,146,2011,Boys Toilet ,2015,4781
district,146,2011,Drinking Water ,2015,4828
district,146,2011,Electricity ,2015,2905
district,146,2011,Computer ,2015,415
district,474,2011,Playground ,2015,2564
district,474,2011,Boundarywall ,2015,2827
district,474,2011,Girls Toilet ,2015,2772
district,474,2011,Boys Toilet ,2015,2749
district,474,2011,Drinking Water ,2015,2836
district,474,2011,Electricity ,2015,2836
district,474,2011,Computer ,2015,2493
district,522,2011,Playground ,2015,4407
district,522,2011,Boundarywall ,2015,4004
district,522,2011,Girls Toilet ,2015,4804
district,522,2011,Boys Toilet ,2015,4847
district,522,2011,Drinking Water ,2015,4881
district,522,2011,Electricity ,2015,4460
district,522,2011,Computer ,2015,4772
district,283,2011,Playground ,2015,471
district,283,2011,Boundarywall ,2015,587
district,283,2011,Girls Toilet ,2015,708
district,283,2011,Boys Toilet ,2015,715
district,283,2011,Drinking Water ,2015,708
district,283,2011,Electricity ,2015,574
district,283,2011,Computer ,2015,264
district,119,2011,Playground ,2015,1837
district,119,2011,Boundarywall ,2015,2976
district,119,2011,Girls Toilet ,2015,3085
district,119,2011,Boys Toilet ,2015,3074
district,119,2011,Drinking Water ,2015,3219
district,119,2011,Electricity ,2015,2241
district,119,2011,Computer ,2015,1379
district,501,2011,Playground ,2015,1001
district,501,2011,Boundarywall ,2015,1266
district,501,2011,Girls Toilet ,2015,1539
district,501,2011,Boys Toilet ,2015,1539
district,501,2011,Drinking Water ,2015,1577
district,501,2011,Electricity ,2015,1432
district,501,2011,Computer ,2015,752
district,598,2011,Playground ,2015,780
district,598,2011,Boundarywall ,2015,924
district,598,2011,Girls Toilet ,2015,977
